o_time,longitud,latitud,profundidad, nro_est, rms, gap, modelo_vel, error_longitud,error_latitud,error_prof, operador,the_mags
2020-12-13 22:16:08, -68.887, -20.823, 105.5, 17, 0.3, 194, p, 3.7, 1.3, 3.8, Jere, 3.9 L 
2020-12-13 22:41:13, -72.004, -30.763, 18.5, 21, 0.3, 275, 3, 5.3, 2.9, 3.4, caro, 3.0 L 
2020-12-14 00:16:32, -70.245, -20.807, 68.0, 14, 0.3, 179, p, 3.6, 1.5, 3.8, mabs, 3.9 L 
2020-12-14 01:38:04, -71.328, -28.145, 29.2, 9, 0.3, 222, Q, 4.2, 2.4, 3.6, trk, 3.1 L 
2020-12-14 11:59:21, -67.331, -23.977, 245.5, 9, 0.3, 249, I, 8.6, 3.2, 9.4, mdur, 3.2 L 
2020-12-14 12:20:45, -69.347, -28.392, 137.2, 9, 0.2, 198, Q, 5.6, 2.4, 6.8, mdur, 3.4 L 
2020-12-14 13:45:39, -67.088, -22.935, 240.0, 14, 0.3, 237, p, 5.3, 2.4, 0.0, mdur, 3.8 L 
2020-12-14 14:21:03, -68.051, -28.229, 210.8, 7, 0.2, 260, Q, 8.1, 2.9, 12.5, mdur, 3.5 L 
2020-12-14 14:55:22, -67.363, -24.056, 214.9, 7, 0.3, 312, Q, 10.1, 5.6, 11.3, mdur, 3.5 L 
2020-12-14 15:20:50, -68.713, -21.803, 109.4, 16, 0.3, 150, p, 3.3, 1.9, 5.2, mdur, 5.9 L 6.0 Mww 
2020-12-14 16:44:42, -68.709, -21.817, 106.3, 15, 0.2, 169, p, 2.8, 1.5, 3.7, mdur, 3.7 L 
2020-12-14 17:43:06, -67.203, -23.993, 216.6, 9, 0.3, 308, Q, 10.1, 5.9, 12.3, mdur, 3.2 L 
2020-12-14 18:35:56, -68.707, -21.787, 110.4, 13, 0.3, 169, p, 3.7, 1.9, 4.4, mdur, 3.7 L 
2020-12-14 18:36:23, -70.040, -32.388, 149.9, 18, 0.2, 202, 3, 6.0, 1.3, 4.4, mdur, 3.3 L 
2020-12-14 19:50:58, -71.451, -28.066, 29.7, 9, 0.3, 239, Q, 4.7, 3.2, 4.4, mdur, 3.2 L 
2020-12-14 20:08:03, -68.217, -23.004, 129.7, 11, 0.3, 194, Q, 4.5, 2.8, 5.2, mdur, 4.0 L 
2020-12-14 20:57:02, -67.766, -22.310, 192.0, 9, 0.3, 252, Q, 10.1, 3.0, 11.9, mdur, 3.0 L 
2020-12-15 00:58:19, -69.679, -21.545, 59.1, 13, 0.2, 102, p, 3.2, 1.1, 2.9, eatl, 3.2 L 
2020-12-15 05:44:13, -71.723, -33.112, 32.2, 29, 0.3, 163, 0, 1.8, 1.6, 2.0, eatl, 3.0 L 
2020-12-15 07:43:25, -70.770, -25.676, 39.1, 11, 0.2, 206, 1, 4.9, 1.2, 2.0, thor, 4.2 L 
2020-12-15 07:59:26, -71.777, -32.617, 33.6, 29, 0.2, 204, 3, 1.6, 0.9, 4.0, eatl, 4.1 L 
2020-12-15 13:52:44, -71.201, -34.841, 83.1, 25, 0.3, 109, C, 3.4, 2.1, 3.3, mdur, 3.3 L 
2020-12-15 15:10:09, -67.416, -24.040, 229.2, 13, 0.3, 295, Q, 9.1, 4.1, 10.0, mdur, 3.9 L 
2020-12-15 16:19:55, -67.174, -23.908, 226.9, 10, 0.3, 248, Q, 11.4, 4.0, 13.4, mdur, 3.1 L 
2020-12-15 19:20:31, -72.344, -41.227, 119.0, 12, 0.2, 158, J, 4.0, 1.4, 4.9, mdur, 3.6 L 
2020-12-15 20:10:58, -71.190, -30.657, 64.3, 12, 0.3, 95, 3, 2.8, 2.0, 3.2, mdur, 3.5 L 
2020-12-16 01:24:26, -71.612, -30.405, 30.3, 11, 0.2, 182, 3, 2.0, 0.9, 2.6, eatl, 3.0 L 
2020-12-16 01:59:53, -72.789, -36.887, 33.4, 12, 0.3, 107, J, 2.4, 1.4, 2.3, thor, 3.3 L 
2020-12-16 02:42:37, -67.953, -21.054, 175.8, 18, 0.2, 232, p, 3.9, 1.2, 4.5, eatl, 3.8 L 
2020-12-16 02:51:30, -68.792, -19.702, 126.8, 20, 0.3, 205, p, 3.6, 1.2, 3.2, thor, 4.2 L 4.3 Mw 
2020-12-16 04:16:58, -72.623, -29.291, 57.4, 13, 0.3, 247, 3, 4.2, 2.2, 7.2, thor, 3.6 L 
2020-12-16 05:25:51, -69.404, -19.268, 111.4, 13, 0.3, 123, p, 3.1, 1.8, 3.5, thor, 3.0 L 
2020-12-16 05:48:30, -69.019, -20.623, 95.9, 11, 0.3, 202, 1, 3.8, 1.3, 4.7, thor, 3.0 L 
2020-12-16 06:50:40, -71.981, -32.853, 27.0, 29, 0.3, 228, 3, 2.5, 1.4, 8.5, thor, 3.9 L 
2020-12-16 07:58:56, -71.998, -32.840, 29.3, 38, 0.2, 188, 0, 1.9, 1.1, 2.0, eatl, 4.3 L 
2020-12-16 11:52:15, -73.525, -38.326, 9.3, 12, 0.3, 120, J, 5.3, 1.6, 7.3, thor, 4.2 L 
2020-12-16 12:42:35, -67.373, -23.892, 255.8, 8, 0.3, 295, Q, 12.2, 3.8, 10.8, mdur, 3.0 L 
2020-12-16 14:13:06, -68.721, -21.905, 118.8, 13, 0.3, 206, p, 4.9, 1.5, 4.8, mdur, 3.6 L 
2020-12-16 16:17:08, -71.512, -31.293, 58.2, 11, 0.2, 179, 3, 3.3, 1.4, 4.1, mdur, 3.5 L 
2020-12-16 16:31:01, -70.234, -34.978, 148.9, 22, 0.3, 240, J, 5.0, 2.8, 4.1, mdur, 3.2 L 
2020-12-16 16:55:59, -71.827, -32.867, 28.6, 23, 0.3, 270, C, 2.9, 3.1, 2.8, mdur, 3.0 L 
2020-12-16 17:48:45, -71.731, -16.826, 89.3, 18, 0.3, 162,  , 2.6, 5.9, 5.1, mdur, 5.8 L 5.6 Mww 
2020-12-16 18:28:25, -71.819, -17.047, 71.8, 14, 0.3, 164,  , 3.2, 5.5, 10.1, mdur, 3.7 L 
2020-12-16 18:37:47, -71.419, -30.741, 52.4, 30, 0.3, 190, 3, 3.6, 0.9, 3.0, mdur, 4.6 L 4.2 Mw 
2020-12-16 18:47:32, -67.823, -27.704, 160.0, 12, 0.3, 258, C, 5.2, 2.8, 0.0, sfas, 3.8 L 
2020-12-17 02:27:39, -67.816, -22.702, 155.3, 16, 0.3, 152, p, 3.2, 2.1, 6.6, thor, 4.0 L 
2020-12-17 03:04:32, -70.686, -21.671, 39.6, 16, 0.3, 190, p, 3.2, 1.5, 3.8, eatl, 3.0 L 
2020-12-17 04:48:01, -70.876, -33.061, 71.6, 33, 0.2, 75, 0, 1.6, 1.0, 1.7, eatl, 3.3 L 
2020-12-17 13:27:19, -70.258, -27.481, 91.6, 6, 0.2, 123, Q, 3.2, 2.0, 3.9, mdur, 3.0 L 
2020-12-17 13:56:42, -73.476, -34.093, 22.6, 20, 0.3, 251, 3, 6.5, 2.9, 6.4, mdur, 3.5 L 
2020-12-17 14:03:09, -66.393, -22.607, 240.1, 16, 0.3, 181, Q, 3.1, 4.3, 5.6, mdur, 4.0 L 
2020-12-17 14:10:09, -72.160, -37.021, 62.8, 11, 0.3, 177, J, 5.7, 1.7, 10.0, mdur, 3.0 L 
2020-12-17 15:44:32, -71.334, -28.399, 30.5, 13, 0.3, 213, Q, 3.8, 1.9, 4.4, mdur, 3.8 L 
2020-12-17 18:14:48, -68.478, -21.557, 128.0, 11, 0.3, 217, p, 6.2, 2.0, 7.2, mdur, 3.4 L 
2020-12-17 18:15:17, -68.389, -23.233, 98.5, 5, 0.2, 260, p, 5.7, 2.2, 11.4, mdur, 3.1 L 
2020-12-17 19:11:32, -71.382, -32.450, 54.5, 12, 0.2, 273, C, 3.5, 3.5, 3.0, sfas, 3.1 L 
2020-12-17 20:14:27, -70.009, -25.008, 78.8, 10, 0.3, 117, Q, 3.3, 1.2, 5.5, mdur, 3.5 L 
2020-12-17 23:38:43, -67.562, -24.152, 223.7, 7, 0.3, 293, Q, 10.2, 3.9, 10.4, mdur, 3.5 L 
2020-12-17 23:48:21, -68.000, -21.166, 179.0, 16, 0.3, 229, p, 6.3, 1.6, 6.6, mdur, 3.3 L 
